Time,Disturbance,Actuator,Error,RMS_E
3.12861,-0.0574359,-0.543307,-0.209657,0.484821
3.12886,0.0235027,-1,-0.0753353,0.484821
3.12911,0.0724016,-1,0.0528139,0.484821
3.12936,0.209281,-1,0.278662,0.484821
3.12961,0.435811,-1,0.562514,0.484821
3.12986,0.604925,-1,0.764042,0.484821
3.13011,0.542607,-0.267717,0.703604,0.484821
3.13036,0.216719,0.929134,0.337322,0.484821
3.13061,-0.214537,1,-0.158875,0.484821
3.13086,-0.515559,1,-0.549454,0.484821
3.13111,-0.556938,1,-0.665015,0.484821
3.13136,-0.402255,1,-0.566522,0.484821
3.13161,-0.224441,0.629921,-0.399859,0.484821
3.13186,-0.13776,-0.448819,-0.28822,0.484821
3.13211,-0.101997,-1,-0.20058,0.484821
3.13236,0.0120796,-1,-0.00400794,0.484821
3.13261,0.263792,-1,0.3289,0.484821
3.13286,0.549471,-1,0.682942,0.484821
3.13311,0.669422,-1,0.835209,0.484821
3.13336,0.499822,-0.283465,0.659648,0.484821
3.13361,0.111282,0.976378,0.23681,0.484821
3.13386,-0.276515,1,-0.218085,0.484821
3.13411,-0.468809,1,-0.492501,0.484821
3.13436,-0.439779,1,-0.539161,0.484821
3.13461,-0.321847,1,-0.477425,0.484821
3.13486,-0.256737,0.708661,-0.425194,0.484821
3.13511,-0.25585,-0.338583,-0.408185,0.484821
3.13536,-0.200618,-1,-0.292924,0.484821
3.13561,0.0194312,-1,-0.000324443,0.484821
3.13586,0.364576,-1,0.426328,0.484821
3.13611,0.645094,-1,0.780653,0.484821
3.13636,0.668884,-1,0.832707,0.484821
3.13661,0.404986,-0.267717,0.572793,0.484821
3.13686,0.0155736,1,0.150036,0.484821
3.13711,-0.277657,1,-0.214837,0.484821
3.13736,-0.368388,1,-0.391895,0.484821
3.13761,-0.32733,1,-0.420774,0.484821
3.13786,-0.300904,1,-0.44926,0.484821
3.13811,-0.347443,0.811024,-0.508692,0.484821
3.13836,-0.375747,-0.244094,-0.524562,0.484821
3.13861,-0.241403,-1,-0.332626,0.484821
3.13886,0.0905518,-1,0.0713566,0.484821
3.13911,0.476068,-1,0.541048,0.484821
3.13936,0.688539,-1,0.821025,0.484821
3.13961,0.601794,-1,0.773996,0.484821
3.13986,0.291634,-0.228346,0.462741,0.484821
3.14011,-0.0342561,1,0.0996801,0.484821
3.14036,-0.212223,1,-0.14141,0.484821
3.14061,-0.244688,1,-0.259983,0.484821
3.14086,-0.258147,1,-0.353914,0.484821
3.14111,-0.349137,1,-0.491784,0.484821
3.14136,-0.467848,0.929134,-0.628828,0.484821
3.14161,-0.456983,-0.181102,-0.597605,0.484821
3.14186,-0.210458,-1,-0.305923,0.484821
3.14211,0.201111,-1,0.185835,0.484821
3.14236,0.557846,-1,0.619698,0.484821
3.14261,0.662389,-1,0.79727,0.484821
3.14286,0.491263,-1,0.667386,0.484821
3.14311,0.201637,-0.204724,0.381014,0.484821
3.14336,-0.0163254,0.992126,0.126068,0.484821
3.14361,-0.0996101,1,-0.0264311,0.484821
3.14386,-0.139968,1,-0.147218,0.484821
3.14411,-0.257096,1,-0.344914,0.484821
3.14436,-0.451657,1,-0.594389,0.484821
3.14461,-0.577273,1,-0.736957,0.484821
3.14486,-0.471763,-0.15748,-0.615945,0.484821
3.14511,-0.118852,-1,-0.21054,0.484821
3.14536,0.309576,-1,0.293673,0.484821
3.14561,0.578585,-1,0.639932,0.484821
3.14586,0.573273,-1,0.706964,0.484821
3.14611,0.375553,-1,0.553892,0.484821
3.14636,0.168969,-0.212598,0.348851,0.484821
3.14661,0.0666514,0.937008,0.214195,0.484821
3.14686,0.023077,1,0.104426,0.484821
3.14711,-0.0907565,1,-0.100474,0.484821
3.14736,-0.326334,1,-0.407208,0.484821
3.14761,-0.572763,1,-0.714612,0.484821
3.14786,-0.636067,1,-0.794191,0.484821
3.14811,-0.413215,-0.19685,-0.557038,0.484821
3.14836,0.000146861,-1,-0.095712,0.484821
3.14861,0.375464,-1,0.352512,0.484821
3.14886,0.527141,-1,0.585128,0.484821
3.14912,0.452009,-1,0.587274,0.484821
3.14937,0.298203,-1,0.47269,0.484821
3.14962,0.209229,-0.259843,0.382028,0.484821
3.14987,0.187189,0.866142,0.323122,0.484821
3.15012,0.111264,1,0.186446,0.484821
3.15037,-0.116905,1,-0.126271,0.484821
3.15062,-0.441651,1,-0.53217,0.484821
3.15087,-0.667798,1,-0.814181,0.484821
3.15112,-0.621025,1,-0.784128,0.484821
3.15137,-0.302532,-0.267717,-0.449872,0.484821
3.15162,0.102043,-1,0.00370568,0.484821
3.15187,0.371109,-1,0.346565,0.484821
3.15212,0.420456,-1,0.475718,0.484821
3.15237,0.343187,-1,0.469167,0.484821
3.15262,0.290043,-1,0.454981,0.484821
3.15287,0.309443,-0.330709,0.475703,0.484821
3.15312,0.301592,0.811024,0.439899,0.484821
3.15337,0.13166,1,0.200735,0.484821
3.15362,-0.210302,1,-0.224161,0.484821
3.15387,-0.560127,1,-0.651238,0.484821
3.15412,-0.699661,1,-0.849437,0.484821
3.15437,-0.5358,1,-0.698926,0.484821
3.15462,-0.180468,-0.354331,-0.330201,0.484821
3.15487,0.146075,-1,0.0422564,0.484821
3.15512,0.295714,-1,0.26144,0.484821
3.15537,0.297115,-1,0.346504,0.484821
3.15562,0.288941,-1,0.411451,0.484821
3.15587,0.356279,-1,0.525033,0.484821
3.15612,0.433101,-0.401575,0.594533,0.484821
3.15637,0.364799,0.795276,0.496478,0.484821
3.15662,0.0732992,1,0.145537,0.484821
3.15687,-0.336257,1,-0.349729,0.484821
3.15712,-0.63603,1,-0.728355,0.484821
3.15737,-0.653855,1,-0.802487,0.484821
3.15762,-0.411354,0.952756,-0.580231,0.484821
3.15787,-0.0940202,-0.417323,-0.244209,0.484821
3.15812,0.11398,-1,0.00673066,0.484821
3.15837,0.177217,-1,0.149105,0.484821
3.15862,0.206125,-1,0.260663,0.484821
3.15887,0.312759,-1,0.432541,0.484821
3.15912,0.472873,-1,0.632969,0.484821
3.15937,0.531801,-0.448819,0.695176,0.484821
3.15962,0.350506,0.834646,0.474792,0.484821
3.15987,-0.0431072,1,0.0208891,0.484821
3.16012,-0.446893,1,-0.458363,0.484821
3.16037,-0.637954,1,-0.734666,0.484821
3.16062,-0.546536,1,-0.691534,0.484821
3.16087,-0.295803,0.874016,-0.463511,0.484821
3.16112,-0.0784676,-0.448819,-0.229106,0.484821
3.16137,0.016941,-1,-0.0846415,0.484821
3.16162,0.0624656,-1,0.0363668,0.484821
3.16187,0.185214,-1,0.242984,0.484821
3.16212,0.407457,-1,0.528782,0.484821
3.16237,0.594387,-1,0.751974,0.484821
3.16262,0.563742,-0.440945,0.720864,0.484821
3.16287,0.260055,0.929134,0.38095,0.484821
3.16312,-0.173437,1,-0.106231,0.484821
3.16337,-0.497345,1,-0.515614,0.484821
3.16362,-0.563342,1,-0.662546,0.484821
3.16387,-0.418734,1,-0.574476,0.484821
3.16412,-0.235979,0.826772,-0.406695,0.484821
3.16437,-0.141062,-0.440945,-0.290635,0.484821
3.16462,-0.105573,-1,-0.202013,0.484821
3.16487,0.000627801,-1,-0.0217163,0.484821
3.16512,0.246693,-1,0.305047,0.484821
3.16537,0.536964,-1,0.667783,0.484821
3.16562,0.670012,-1,0.828663,0.484821
3.16587,0.512581,-0.385827,0.674519,0.484821
3.16612,0.127241,1,0.254036,0.484821
3.16637,-0.266409,1,-0.203343,0.484821
3.16662,-0.466891,1,-0.487205,0.484821
3.16687,-0.44189,1,-0.540332,0.484821
3.16712,-0.323468,1,-0.47697,0.484821
3.16737,-0.257022,0.818898,-0.425647,0.484821
3.16762,-0.255913,-0.401575,-0.400163,0.484821
3.16787,-0.200463,-1,-0.293345,0.484821
3.16812,0.0208447,-1,0.00370048,0.484821
3.16837,0.368163,-1,0.431659,0.484821
3.16862,0.647813,-1,0.781252,0.484821
3.16887,0.665939,-1,0.829965,0.484821
3.16912,0.395059,-0.267717,0.561809,0.484821
3.16937,0.00347162,1,0.131089,0.484821
3.16962,-0.284637,1,-0.217906,0.484821
3.16987,-0.368143,1,-0.39044,0.484821
3.17012,-0.324903,1,-0.420341,0.484821
3.17037,-0.301699,1,-0.454709,0.484821
3.17062,-0.351003,0.84252,-0.516833,0.484821
3.17087,-0.372874,-0.385827,-0.515956,0.484821
3.17112,-0.223841,-1,-0.31319,0.484821
3.17137,0.120517,-1,0.102712,0.484821
3.17162,0.502151,-1,0.569535,0.484821
3.17187,0.693144,-1,0.831959,0.484821
3.17212,0.580536,-1,0.752027,0.484821
3.17237,0.257991,-0.11811,0.420842,0.484821
3.17262,-0.06028,1,0.07135,0.484821
3.17287,-0.221024,1,-0.157229,0.484821
3.17312,-0.244363,1,-0.265285,0.484821
3.17337,-0.264213,1,-0.355941,0.484821
3.17362,-0.364765,1,-0.509743,0.484821
3.17388,-0.477067,0.874016,-0.638807,0.484821
3.17413,-0.438464,-0.409449,-0.574265,0.484821
3.17438,-0.159638,-1,-0.246639,0.484821
3.17463,0.261093,-1,0.246379,0.484821
3.17488,0.59249,-1,0.668832,0.484821
3.17513,0.651481,-1,0.78789,0.484821
3.17538,0.44747,-1,0.623024,0.484821
3.17563,0.156859,0,0.328058,0.484821
3.17588,-0.0391211,1,0.0896224,0.484821
3.17613,-0.105635,1,-0.0451585,0.484821
3.17638,-0.153099,1,-0.169894,0.484821
3.17663,-0.290102,1,-0.38544,0.484821
3.17688,-0.486722,1,-0.635874,0.484821
3.17713,-0.578349,0.889764,-0.740583,0.484821
3.17738,-0.417468,-0.496063,-0.558745,0.484821
3.17763,-0.0284465,-1,-0.115373,0.484821
3.17788,0.386838,-1,0.374414,0.484821
3.17813,0.600742,-1,0.67899,0.484821
3.17838,0.539944,-1,0.678106,0.484821
3.17863,0.322957,-1,0.497866,0.484821
3.17888,0.134931,0.0866142,0.297763,0.484821
3.17913,0.0555714,1,0.184382,0.484821
3.17938,0.0060311,1,0.0690398,0.484821
3.17963,-0.139598,1,-0.162415,0.484821
3.17988,-0.395313,1,-0.491315,0.484821
3.18013,-0.613737,1,-0.758152,0.484821
3.18038,-0.604822,0.834646,-0.768054,0.484821
3.18063,-0.312046,-0.653543,-0.448267,0.484821
3.18088,0.11777,-1,0.0383727,0.484821
3.18113,0.444335,-1,0.439633,0.484821
3.18138,0.524103,-1,0.600543,0.484821
3.18163,0.407342,-1,0.544051,0.484821
3.18188,0.26169,-1,0.432574,0.484821
3.18213,0.199399,0.125984,0.364483,0.484821
3.18238,0.17644,1,0.298659,0.484821
3.18263,0.0575231,1,0.101863,0.484821
3.18288,-0.217182,1,-0.251206,0.484821
3.18313,-0.53605,1,-0.642762,0.484821
3.18338,-0.686911,1,-0.84482,0.484821
3.18363,-0.538817,0.716535,-0.697553,0.484821
