Time,Disturbance,Actuator,Error,RMS_E
3.03657,0.129939,0.385827,-0.0860823,0.122445
3.04657,-0.188143,-0.251969,-0.085935,0.122445
3.05658,0.129342,0.385827,-0.0935558,0.122445
3.06658,-0.181506,-0.244094,-0.0905749,0.122445
3.07659,0.128742,0.377953,-0.0830719,0.122445
3.08659,-0.174853,-0.251969,-0.0835496,0.122445
3.09659,0.128138,0.370079,-0.0771038,0.122445
3.1066,-0.168187,-0.259843,-0.0718659,0.122445
3.1166,0.127531,0.370079,-0.0694376,0.0654675
3.12661,-0.161507,-0.259843,-0.0642836,0.0654675
3.13661,0.12692,0.362205,-0.0543706,0.0654675
3.14661,-0.154815,-0.267717,-0.064992,0.0654675
3.15662,0.126304,0.354331,-0.038783,0.0654675
3.16662,-0.148111,-0.275591,-0.0464487,0.0654675
3.17663,0.125683,0.354331,-0.0360974,0.0654675
3.18663,-0.141397,-0.283465,-0.0288444,0.0654675
3.19663,0.125057,0.346457,-0.0270351,0.0654675
3.20664,-0.134673,-0.283465,-0.0376025,0.0654675
3.21664,0.124424,0.338583,-0.00769978,0.0409049
3.22665,-0.12794,-0.283465,-0.0192665,0.0409049
3.23665,0.123785,0.338583,-0.0111054,0.0409049
3.24665,-0.1212,-0.283465,-0.0210371,0.0409049
3.25666,0.123138,0.338583,-0.00732209,0.0409049
3.26666,-0.114453,-0.291339,-0.004734,0.0409049
3.27667,0.122484,0.346457,-0.000354826,0.0409049
3.28667,-0.1077,-0.299213,0.00316877,0.0409049
3.29667,0.121822,0.346457,0.00386554,0.0409049
3.30668,-0.100942,-0.291339,0.00577768,0.0409049
3.31668,0.121151,0.338583,0.00793239,0.0283751
3.32669,-0.0941794,-0.299213,0.0248357,0.0283751
3.33669,0.120472,0.338583,0.00160744,0.0283751
3.34669,-0.0874141,-0.299213,0.0141569,0.0283751
3.3567,0.119782,0.338583,0.0110765,0.0283751
3.3667,-0.0806466,-0.291339,0.0139457,0.0283751
3.37671,0.119083,0.338583,0.0216372,0.0283751
3.38671,-0.0738777,-0.291339,0.0161557,0.0283751
3.39672,0.118373,0.338583,0.0191546,0.0283751
3.40672,-0.0671085,-0.299213,0.0226015,0.0283751
3.41672,0.117651,0.346457,0.0180007,0.02291
3.42673,-0.0603398,-0.291339,0.0236445,0.02291
3.43673,0.116919,0.346457,0.0156055,0.02291
3.44674,-0.0535726,-0.283465,0.028494,0.02291
3.45674,0.116174,0.346457,0.0153861,0.02291
3.46674,-0.0468077,-0.291339,0.0258676,0.02291
3.47675,0.115417,0.346457,0.0212458,0.02291
3.48675,-0.0400462,-0.283465,0.020632,0.02291
3.49676,0.114647,0.354331,0.0107842,0.02291
3.50676,-0.0332888,-0.283465,0.0162586,0.02291
3.51676,0.113863,0.362205,0.0250066,0.0181425
3.52677,-0.0265366,-0.283465,0.0249173,0.0181425
3.53677,0.113066,0.362205,0.0186855,0.0181425
3.54678,-0.0197904,-0.275591,0.0275767,0.0181425
3.55678,0.112254,0.362205,0.0185723,0.0181425
3.56678,-0.0130511,-0.275591,0.0196839,0.0181425
3.57679,0.111427,0.370079,0.0198485,0.0181425
3.58679,-0.00631973,-0.283465,0.0193918,0.0181425
3.5968,0.110585,0.370079,0.0144644,0.0181425
3.6068,0.000402926,-0.267717,0.0217489,0.0181425
3.6168,0.109727,0.370079,0.0170445,0.0147733
3.62681,0.00711592,-0.267717,0.0182793,0.0147733
3.63681,0.108852,0.370079,0.0138939,0.0147733
3.64682,0.0138184,-0.267717,0.0224998,0.0147733
3.65682,0.107961,0.370079,0.0117126,0.0147733
3.66682,0.0205093,-0.267717,0.0241035,0.0147733
3.67683,0.107053,0.385827,0.0133376,0.0147733
3.68683,0.027188,-0.267717,0.0206303,0.0147733
3.69684,0.106128,0.377953,0.0100577,0.0147733
3.70684,0.0338534,-0.267717,0.0249976,0.0147733
3.71684,0.105184,0.385827,0.0142707,0.0119684
3.72685,0.0405047,-0.259843,0.0292434,0.0119684
3.73685,0.104221,0.385827,0.0173954,0.0119684
3.74686,0.0471409,-0.259843,0.0177383,0.0119684
3.75686,0.10324,0.385827,0.0109958,0.0119684
3.76686,0.0537613,-0.259843,0.0218235,0.0119684
3.77687,0.102239,0.385827,0.00952691,0.0119684
3.78687,0.0603649,-0.251969,0.0230413,0.0119684
3.79688,0.101219,0.385827,0.00792882,0.0119684
3.80688,0.0669509,-0.251969,0.0270926,0.0119684
3.81688,0.100178,0.393701,0.0115121,0.0101735
3.82689,0.0735184,-0.251969,0.0205796,0.0101735
3.83689,0.0991167,0.393701,0.0129093,0.0101735
3.8469,0.0800665,-0.244094,0.0151648,0.0101735
3.8569,0.0980342,0.393701,0.0201332,0.0101735
3.86691,0.0865945,-0.23622,0.0141192,0.0101735
3.87691,0.0969302,0.393701,0.0122174,0.0101735
3.88691,0.0931013,-0.23622,0.0175799,0.0101735
3.89692,0.0958043,0.401575,0.00780188,0.0101735
3.90692,0.0995862,-0.23622,0.0231418,0.0101735
3.91693,0.094656,0.401575,0.010119,0.00912367
3.92693,0.106048,-0.23622,0.0116276,0.00912367
3.93693,0.0934851,0.401575,0.014787,0.00912367
3.94694,0.112487,-0.23622,0.00835487,0.00912367
3.95694,0.0922911,0.401575,0.00734057,0.00912367
3.96695,0.118901,-0.228346,0.00612299,0.00912367
3.97695,0.0910736,0.401575,0.0146001,0.00912367
3.98695,0.12529,-0.228346,0.0119012,0.00912367
3.99696,0.0898322,0.409449,0.00572785,0.00912367
4.00696,0.12659,-0.228346,0.00864567,0.00912367
4.01695,0.0910431,0.401575,0.0154998,0.00916075
4.02694,0.117912,-0.23622,0.00637702,0.00916075
4.03694,0.0926921,0.401575,0.00171862,0.00916075
4.04693,0.109187,-0.23622,0.00690202,0.00916075
4.05693,0.0942981,0.401575,0.00252009,0.00916075
4.06692,0.100418,-0.23622,0.00985766,0.00916075
4.07692,0.0958619,0.393701,0.0123749,0.00916075
4.08691,0.0916069,-0.23622,0.00662607,0.00916075
4.09691,0.0973846,0.393701,0.011957,0.00916075
4.1069,0.0827556,-0.244094,0.00655438,0.00916075
4.11689,0.0988671,0.393701,0.00945714,0.00924832
4.12689,0.0738664,-0.244094,0.0115561,0.00924832
4.13688,0.100311,0.393701,0.0139692,0.00924832
4.14688,0.0649413,-0.251969,0.0211698,0.00924832
4.15687,0.101716,0.393701,0.00487036,0.00924832
4.16687,0.0559826,-0.251969,0.0128854,0.00924832
4.17686,0.103084,0.393701,0.00981333,0.00924832
4.18686,0.0469924,-0.259843,0.0262283,0.00924832
4.19685,0.104417,0.385827,0.0100417,0.00924832
4.20685,0.0379729,-0.259843,0.0243595,0.00924832
4.21684,0.105715,0.385827,0.0124001,0.0114821
4.22683,0.0289264,-0.259843,0.0179278,0.0114821
4.23683,0.106979,0.370079,0.0100374,0.0114821
4.24682,0.019855,-0.267717,0.016229,0.0114821
4.25682,0.10821,0.377953,0.0100601,0.0114821
4.26681,0.0107609,-0.267717,0.0143773,0.0114821
4.27681,0.10941,0.370079,0.0161928,0.0114821
4.2868,0.00164654,-0.267717,0.0107927,0.0114821
4.2968,0.11058,0.370079,0.00663692,0.0114821
4.30679,-0.00748601,-0.267717,0.00908258,0.0114821
4.31678,0.11172,0.370079,0.00980698,0.0117555
4.32678,-0.0166344,-0.275591,0.0185651,0.0117555
4.33677,0.112832,0.362205,0.0150237,0.0117555
4.34677,-0.0257964,-0.275591,0.0112993,0.0117555
4.35676,0.113918,0.362205,0.00900734,0.0117555
4.36676,-0.0349698,-0.275591,0.0116851,0.0117555
4.37675,0.114978,0.362205,0.0132281,0.0117555
4.38675,-0.0441521,-0.283465,0.0059394,0.0117555
4.39674,0.116013,0.354331,0.0116037,0.0117555
4.40674,-0.0533412,-0.283465,0.00894516,0.0117555
4.41673,0.117026,0.354331,0.00835388,0.011295
4.42672,-0.0625347,-0.283465,0.0200951,0.011295
4.43672,0.118016,0.346457,0.0132123,0.011295
